inv_id,meter_id,inv_brand_id,inv_model_id,inv_no,inv_name,inv_SN,date_of_com,date_of_decom,active,monitoring_portal,portal_ref,remarks
1,1,5,13,1,"111 Edgefield Plains_G1_I1",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
2,1,5,13,2,"111 Edgefield Plains_G1_I2",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
3,1,5,13,3,"111 Edgefield Plains_G1_I3",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
4,1,5,13,4,"111 Edgefield Plains_G1_I4",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
5,1,5,13,5,"111 Edgefield Plains_G1_I5",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
6,2,5,13,1,"112 Edgefield Plains_G1_I1",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
7,2,5,13,2,"112 Edgefield Plains_G1_I2",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
8,2,5,13,3,"112 Edgefield Plains_G1_I3",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
9,2,5,13,4,"112 Edgefield Plains_G1_I4",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
10,2,5,13,5,"112 Edgefield Plains_G1_I5",NULL,NULL,NULL,NULL,NULL,NULL,"Converted from 1x SE12.5K inverter"
11,3,5,13,1,"115 Edgefield Plains_G1_I1",NULL,NULL,NULL,NULL,Envision,AaGhm4eb,"Converted from 1x SE12.5K inverter"
12,3,5,13,2,"115 Edgefield Plains_G1_I2",NULL,NULL,NULL,NULL,Envision,pdGBlDj8,"Converted from 1x SE12.5K inverter"
13,3,5,13,3,"115 Edgefield Plains_G1_I3",NULL,NULL,NULL,NULL,Envision,OYIerghV,"Converted from 1x SE12.5K inverter"
14,3,5,13,4,"115 Edgefield Plains_G1_I4",NULL,NULL,NULL,NULL,Envision,V1NKbFHo,"Converted from 1x SE12.5K inverter"
15,3,5,13,5,"115 Edgefield Plains_G1_I5",NULL,NULL,NULL,NULL,Envision,qTc9S6Yy,"Converted from 1x SE12.5K inverter"
16,4,5,13,1,"116 Edgefield Plains_G1_I1",NULL,NULL,NULL,NULL,Envision,QhLTmxMm,"Converted from 1x SE12.5K inverter"
17,4,5,13,2,"116 Edgefield Plains_G1_I2",NULL,NULL,NULL,NULL,Envision,ipHmezo1,"Converted from 1x SE12.5K inverter"
18,4,5,13,3,"116 Edgefield Plains_G1_I3",NULL,NULL,NULL,NULL,Envision,k9Lz7HRk,"Converted from 1x SE12.5K inverter"
19,4,5,13,4,"116 Edgefield Plains_G1_I4",NULL,NULL,NULL,NULL,Envision,JXpkq99a,"Converted from 1x SE12.5K inverter"
20,4,5,13,5,"116 Edgefield Plains_G1_I5",NULL,NULL,NULL,NULL,Envision,7Xm3aBBI,"Converted from 1x SE12.5K inverter"
21,5,5,13,1,"117 Edgefield Plains_G1_I1",NULL,NULL,NULL,NULL,Envision,9bW9j2BN,"Converted from 1x SE12.5K inverter"
22,5,5,13,2,"117 Edgefield Plains_G1_I2",NULL,NULL,NULL,NULL,Envision,fZRO2zmj,"Converted from 1x SE12.5K inverter"
23,5,5,13,3,"117 Edgefield Plains_G1_I3",NULL,NULL,NULL,NULL,Envision,5GVmSF0f,"Converted from 1x SE12.5K inverter"
24,5,5,13,4,"117 Edgefield Plains_G1_I4",NULL,NULL,NULL,NULL,Envision,bduKjmi6,"Converted from 1x SE12.5K inverter"
25,5,5,12,5,"117 Edgefield Plains_G1_I5",NULL,NULL,NULL,NULL,Envision,bNSFy0n0,"Converted from 1x SE10K inverter"
26,6,5,13,1,"118 Edgefield Plains_G1_I1",NULL,NULL,NULL,NULL,Envision,u3c1agAq,"Converted from 1x SE12.5K inverter"
27,6,5,13,2,"118 Edgefield Plains_G1_I2",NULL,NULL,NULL,NULL,Envision,39EgV3x9,"Converted from 1x SE12.5K inverter"
28,6,5,13,3,"118 Edgefield Plains_G1_I3",NULL,NULL,NULL,NULL,Envision,IhNG6Cgb,"Converted from 1x SE12.5K inverter"
29,6,5,13,4,"118 Edgefield Plains_G1_I4",NULL,NULL,NULL,NULL,Envision,nos7PzDx,"Converted from 1x SE12.5K inverter"
30,6,5,13,5,"118 Edgefield Plains_G1_I5",NULL,NULL,NULL,NULL,Envision,0ecyP5i0,"Converted from 1x SE17K inverter"
31,41,5,11,1,Sanden_G1_I1,NULL,NULL,NULL,NULL,Envision,tg3UYTUm,"Converted from 1x SE17K inverter"
32,41,5,11,2,Sanden_G1_I2,NULL,NULL,NULL,NULL,Envision,VCpMkt5Y,"Converted from 1x SE17K inverter"
33,41,5,11,3,Sanden_G1_I3,NULL,NULL,NULL,NULL,Envision,i3HEVGzq,"Converted from 1x SE17K inverter"
34,41,5,11,4,Sanden_G1_I4,NULL,NULL,NULL,NULL,Envision,lydmjWRO,"Converted from 1x SE17K inverter"
35,41,5,11,5,Sanden_G1_I5,NULL,NULL,NULL,NULL,Envision,sqgYpmXM,"Converted from 1x SE17K inverter"
36,41,5,11,6,Sanden_G1_I6,NULL,NULL,NULL,NULL,Envision,2nFFug1G,"Converted from 1x SE17K inverter"
37,41,5,11,7,Sanden_G1_I7,NULL,NULL,NULL,NULL,Envision,fBvE4WlX,"Converted from 1x SE17K inverter"
38,41,5,11,8,Sanden_G1_I8,NULL,NULL,NULL,NULL,Envision,Y8GLcSzk,"Converted from 1x SE17K inverter"
39,41,5,11,9,Sanden_G1_I9,NULL,NULL,NULL,NULL,Envision,mROjwpoE,"Converted from 1x SE17K inverter"
40,42,5,11,1,Sanden_G2_I1,NULL,NULL,NULL,NULL,Envision,K12Np8bf,"Converted from 1x SE17K inverter"
41,42,5,11,2,Sanden_G2_I2,NULL,NULL,NULL,NULL,Envision,Zqezwtca,"Converted from 1x SE17K inverter"
42,42,5,11,3,Sanden_G2_I3,NULL,NULL,NULL,NULL,Envision,DRNGmCTM,"Converted from 1x SE17K inverter"
43,42,5,11,4,Sanden_G2_I4,NULL,NULL,NULL,NULL,Envision,lRx0v9ov,"Converted from 1x SE17K inverter"
44,42,5,11,5,Sanden_G2_I5,NULL,NULL,NULL,NULL,Envision,UHmPP38E,"Converted from 1x SE17K inverter"
45,42,5,11,6,Sanden_G2_I6,NULL,NULL,NULL,NULL,Envision,teLSvJdf,"Converted from 1x SE17K inverter"
46,42,5,11,7,Sanden_G2_I7,NULL,NULL,NULL,NULL,Envision,SPhVz99i,"Converted from 1x SE17K inverter"
47,42,5,11,8,Sanden_G2_I8,NULL,NULL,NULL,NULL,Envision,k28oWs5L,"Converted from 1x SE17K inverter"
48,42,5,11,9,Sanden_G2_I9,NULL,NULL,NULL,NULL,Envision,tX1QIsBm,"Converted from 1x SE17K inverter"
49,42,5,11,10,Sanden_G2_I10,NULL,NULL,NULL,NULL,Envision,rfN5dQ4Z,"Converted from 1x SE17K inverter"
50,42,5,11,11,Sanden_G2_I11,NULL,NULL,NULL,NULL,Envision,ZcejWHeW,"Converted from 1x SE17K inverter"
