record_id,date,meter_id,remarks,patched
1,2022-06-22,1161,"Lost Comms",1
2,2022-06-22,1178,"Lost Comms",1
3,2022-06-22,1184,"Lost Comms",1
4,2022-06-22,1185,"Lost Comms",1
5,2022-06-22,1207,"Lost Comms",1
6,2022-06-22,1211,"Lost Comms",1
7,2022-06-22,1212,"Lost Comms",1
8,2022-06-22,1226,"Lost Comms",1
9,2022-06-22,1237,"Lost Comms",1
10,2022-06-22,1347,"Lost Comms",1
11,2022-06-22,1411,"Lost Comms",1
12,2022-06-22,1413,"Lost Comms",1
13,2022-06-22,1414,"Lost Comms",1
14,2022-06-22,1418,"Lost Comms",1
15,2022-06-22,1422,"Lost Comms",1
16,2022-06-22,1427,"Lost Comms",1
17,2022-06-22,1429,"Lost Comms",1
18,2022-06-22,1431,"Lost Comms",1
19,2022-06-22,1732,"Lost Comms",1
20,2022-06-22,1810,"Lost Comms",1
21,2022-06-22,1813,"Lost Comms",1
22,2022-06-22,1904,"Lost Comms",1
23,2022-06-22,1944,"Lost Comms",1
24,2022-06-22,2090,"Lost Comms",1
25,2022-06-22,12,"Lost Comms",1
26,2022-06-22,34,"Lost Comms",1
27,2022-06-22,37,"Lost Comms",1
28,2022-06-22,43,"Lost Comms",1
29,2022-06-22,44,"Lost Comms",1
30,2022-06-22,45,"Lost Comms",1
31,2022-06-22,53,"Lost Comms",1
32,2022-06-22,78,"Lost Comms",1
33,2022-06-22,96,"Lost Comms",1
34,2022-06-22,128,"Lost Comms",1
35,2022-06-22,130,"Lost Comms",1
36,2022-06-22,131,"Lost Comms",1
37,2022-06-22,139,"Lost Comms",1
38,2022-06-22,167,"Lost Comms",NULL
39,2022-06-22,221,"Lost Comms",1
40,2022-06-22,254,"Lost Comms",1
41,2022-06-22,287,"Lost Comms",NULL
42,2022-06-22,299,"Lost Comms",NULL
43,2022-06-22,315,"Lost Comms",NULL
44,2022-06-22,317,"Lost Comms",NULL
45,2022-06-22,320,"Lost Comms",NULL
46,2022-06-22,377,"Lost Comms",NULL
47,2022-06-22,378,"Lost Comms",NULL
48,2022-06-22,933,"Lost Comms",NULL
49,2022-06-22,448,"Lost Comms",NULL
50,2022-06-22,453,"Lost Comms",NULL
51,2022-06-22,463,"Lost Comms",NULL
52,2022-06-22,472,"Lost Comms",NULL
53,2022-06-22,474,"Lost Comms",NULL
54,2022-06-22,489,"Lost Comms",NULL
55,2022-06-22,491,"Lost Comms",NULL
56,2022-06-22,506,"Lost Comms",NULL
57,2022-06-22,520,"Lost Comms",NULL
58,2022-06-22,545,"Lost Comms",NULL
59,2022-06-22,917,"Lost Comms",NULL
60,2022-06-22,919,"Lost Comms",NULL
61,2022-06-22,920,"Lost Comms",NULL
62,2022-06-22,549,"Lost Comms",NULL
63,2022-06-22,562,"Lost Comms",NULL
64,2022-06-22,577,"Lost Comms",NULL
65,2022-06-22,584,"Lost Comms",NULL
66,2022-06-22,585,"Lost Comms",NULL
67,2022-06-22,586,"Lost Comms",NULL
68,2022-06-22,587,"Lost Comms",NULL
69,2022-06-22,588,"Lost Comms",NULL
70,2022-06-22,598,"Lost Comms",NULL
71,2022-06-22,599,"Lost Comms",NULL
72,2022-06-22,600,"Lost Comms",NULL
73,2022-06-22,601,"Lost Comms",NULL
74,2022-06-22,602,"Lost Comms",NULL
75,2022-06-22,603,"Lost Comms",NULL
76,2022-06-22,604,"Lost Comms",NULL
77,2022-06-22,605,"Lost Comms",NULL
78,2022-06-22,606,"Lost Comms",NULL
79,2022-06-22,607,"Lost Comms",NULL
80,2022-06-22,610,"Lost Comms",NULL
81,2022-06-22,613,"Lost Comms",NULL
82,2022-06-22,618,"Lost Comms",NULL
83,2022-06-22,619,"Lost Comms",NULL
84,2022-06-22,637,"Lost Comms",NULL
85,2022-06-22,646,"Lost Comms",NULL
86,2022-06-22,651,"Lost Comms",NULL
87,2022-06-22,652,"Lost Comms",NULL
88,2022-06-22,653,"Lost Comms",NULL
89,2022-06-22,663,"Lost Comms",NULL
90,2022-06-22,665,"Lost Comms",NULL
91,2022-06-22,683,"Lost Comms",NULL
92,2022-06-22,694,"Lost Comms",NULL
93,2022-06-22,704,"Lost Comms",NULL
94,2022-06-22,706,"Lost Comms",NULL
95,2022-06-22,708,"Lost Comms",NULL
96,2022-06-22,709,"Lost Comms",NULL
97,2022-06-22,710,"Lost Comms",NULL
98,2022-06-22,711,"Lost Comms",NULL
99,2022-06-22,712,"Lost Comms",NULL
100,2022-06-22,713,"Lost Comms",NULL
