pyr_id,location,pyr_address,pyr_region,serial_no,label_no,last_calibration_date,brand,monitoring_portal,portal_ref,backup_1,pso,comments,meter_id
1,"Blk 181 Edgefield Plains 820181",NULL,North-East,NULL,NULL,NULL,NULL,SERIS,https://www.dropbox.com/sh/of3vik2gqjrsojv/AAD1ZyI8xw4vy-oFqM-hstada?dl=0,42,0,"Belongs to SERIS",7
2,"Blk 227 Jurong East Street 21","227 Jurong East Street 21",South-West,10627,NULL,2022-06-17,Hukseflux,Envision,TZFrYwye,3,0,,244
3,"Blk 520 Jurong West Street 52","520 Jurong West Street 52",West,166006,P1,2019-01-29,"Kipp & Zonen",Envision,0KbAVlkJ,2,1,"PSO - 249 JBL",612
4,"Blk 492B Tampines Avenue 9","492B Tampines Avenue 9",East,176174,P4,2019-02-20,"Kipp & Zonen",Envision,SoJl5y6a,25,1,"PSO - Downtown East",494
5,"Blk 13 Eunos Crescent","13 Eunos Crescent",South-East,176171,P6,2019-02-12,"Kipp & Zonen",Envision,T7wW7fkr,18,0,,289
6,"Blk 404 Woodlands Street 41","404 Woodlands Street 41",North,176173,P8,2019-03-22,"Kipp & Zonen",Envision,Mt52xouf,19,0,,738
8,"21 Woodlands Crossing",NULL,NULL,176175,P9,2019-04-09,"Kipp & Zonen",NULL,NULL,NULL,1,"PSO - Woodlands Checkpoint (Enrochem). Pyranometer is installed at WCP Blk B",NULL
10,"HP (1150 Depot Road)","1150 Depot Road",South,176172,P3,2019-02-27,"Kipp & Zonen",Envision,1c17e7ec7e802000,13,0,,988
11,"Home Team Academy (501 Old Choa Chu Kang Road","501 Old Choa Chu Kang Road",North-West,187507,P11,2018-04-09,"Kipp & Zonen",Envision,1def054e56004000,3,1,"PSO - Home Team Academy. Pyranometer installed at HTA Blk 18",1185
13,"PSA (33 Harbour Drive)","33 Harbour Drive",South,198361,P21,2019-04-26,"Kipp & Zonen",Envision,1e10c3253e004000,10,1,"PSO - PSA. Pyranometer installed at PSA - B1 Main",1166
14,"Keppel (51 Pioneer Sector 1)","51 Pioneer Sector 1",West,187810,P13,2018-07-06,"Kipp & Zonen",Envision,1fc1d4223f802000,16,1,"PSO - Keppel 51PS1, 15 Benoi, 50 Gul, 55 Gul, Dynamac, Technip FMC. Pyranometer installed at Keppel 51PS1 - Main Admin & Annex 1.",1214
15,"TCP (501 Jalan Ahmad Ibrahim)","501 Jalan Ahmad Ibrahim",West,198351,P25,2019-03-26,"Kipp & Zonen",Envision,1e37c03b88004000,14,1,"PSO - ICA Tuas Checkpoint. Pyranometer installed at ICA Tuas Checkpoint (A11)",1220
16,"Kimberly Clark (81 Tuas South Avenue 8)","81 Tuas South Avenue 8",West,198293,P15,2019-02-20,"Kipp & Zonen",Envision,1f3b372aeb000000,14,1,"PSO - Kimberly Clark. Pyranometer installed at Kimberly Clark_G1.",1396
17,"Centurion (5 Jalan Papan, Blk 5C)","5 Jalan Papan Main to 5, 5C, 5D",West,10049,NULL,2021-08-10,Hukseflux,Envision,2002686fe8800000,2,0,"Update 1: Centurion - Blk 5C. Imported data from 520 Jurong West before 17 Jul 2019. Update 2: Hukseflux pyranometer 10049 replaced the defective Kipp & Zonen pyranometer 187811 on 9 Feb 2022",1446
18,"Bedok Waterworks (10 Kaki Bukit Road 5)","10 Kaki Bukit Road 5",East,198307,P17,2019-03-19,"Kipp & Zonen",Envision,1f6996b3a3802000,5,1,"PSO - Bedok Waterworks. Pyranometer installed at Bedok Waterworks - Admin Building",1096
19,"Blk 225 Yishun Street 11","225 Yishun Street 21",North,198308,P18,2019-03-19,"Kipp & Zonen",Envision,25f9079eee002000,6,0,"QVtKhWFA: Asset ID of the virtual pyr at Yishun Community Hospital)",1592
20,"Storhub (615 Lorong 4 Toa Payoh)","615 Lor 4 Toa Payoh",Central,198309,P19,2019-03-19,"Kipp & Zonen",Envision,264acaaffb000000,158,0,,1837
21,,NULL,NULL,198349,P20,2019-03-26,"Kipp & Zonen",NULL,NULL,NULL,0,NULL,NULL
22,,NULL,NULL,198295,P16,2019-02-20,"Kipp & Zonen",NULL,NULL,NULL,0,"Formerly at PSA - B1 Main. Became defective.",NULL
23,,NULL,NULL,198350,P22,2019-03-26,"Kipp & Zonen",NULL,NULL,NULL,0,NULL,NULL
