site_id,proj_id,pyr_id,premise_id_billing,name,address,postal_code,country,latitude,longitude,date_of_com,date_of_cond_takeover,date_of_takeover,env_site_asset_id
1,1,42,1,"111 Edgefield Plains_G1","111 Edgefield Plains",820111,Singapore,1.396765,103.906848,2013-01-24,NULL,2020-12-31,NYwMoBNI
2,1,42,2,"112 Edgefield Plains_G1","112 Edgefield Plains",820112,Singapore,1.3962889,103.907121,2013-02-26,NULL,2020-12-31,PCS82ra1
3,1,42,3,"115 Edgefield Plains_G1","115 Edgefield Plains",820115,Singapore,1.3952069,103.9073329,2012-11-28,NULL,2020-12-31,kLR6bpNk
4,1,42,4,"116 Edgefield Plains_G1","116 Edgefield Plains",820116,Singapore,1.395244,103.906758,2012-11-28,NULL,2020-12-31,TtPpCcQF
5,1,42,5,"117 Edgefield Plains_G1","117 Edgefield Plains",820117,Singapore,1.3953164,103.9064416,2012-11-28,NULL,2020-12-31,PPaRbnIh
6,1,42,6,"118 Edgefield Plains_G1","118 Edgefield Plains",820118,Singapore,1.3960416,103.9055032,2012-11-28,NULL,2020-12-31,WbUoKDQO
7,1,42,7,"181 Edgefield Plains_G1","181 Edgefield Plains",820181,Singapore,1.3992692,103.9091581,2012-06-20,NULL,2020-12-31,m1jAy6cO
8,1,42,8,"182 Edgefield Plains_G1","182 Edgefield Plains",820182,Singapore,1.4036096,103.9050777,2012-09-17,NULL,2020-12-31,wVbTUPc4
9,1,42,9,"183 Edgefield Plains_G1","183 Edgefield Plains",820183,Singapore,1.3987192,103.9097935,2012-09-17,NULL,2020-12-31,NR9cymYS
10,1,42,10,"184 Edgefield Plains_G1","184 Edgefield Plains",820184,Singapore,1.398107,103.909755,2012-09-17,NULL,2020-12-31,fOILfxsh
11,1,42,11,"185 Edgefield Plains_G1","185 Edgefield Plains",820185,Singapore,1.397788,103.9100179,2012-09-17,NULL,2020-12-31,1Y0Ptr14
12,1,42,12,"186 Punggol Central_G1","186 Punggol Central",820186,Singapore,1.3985436,103.9110746,2012-09-18,NULL,2020-12-31,5moPjsD8
13,1,42,13,"187 Punggol Central_G1","187 Punggol Central",820187,Singapore,1.3992323,103.907854,2012-09-18,NULL,2020-12-31,NJfxrPRx
14,1,42,14,"188 Punggol Central_G1","188 Punggol Central",820188,Singapore,1.399395,103.910606,2012-09-18,NULL,2020-12-31,wyMSR94H
15,1,42,15,"191 Punggol Central_G1","191 Punggol Central",820191,Singapore,1.3999359,103.9100635,2012-09-18,NULL,2020-12-31,RuBJKjeG
16,1,42,16,"192 Punggol Central_G1","192 Punggol Central",820192,Singapore,1.3998519,103.9094497,2012-09-18,NULL,2020-12-31,Z83dgXpl
17,1,42,17,"160A Punggol Central_G1","160A Punggol Central",821160,Singapore,1.3956609,103.9157132,2012-06-20,NULL,2020-12-31,XIOOl0UM
18,1,42,18,"160B Punggol Central_G1","160B Punggol Central",822160,Singapore,1.3953655,103.9160757,2012-09-20,NULL,2020-12-31,gjuYxaFJ
19,1,42,19,"161A Punggol Central_G1","161A Punggol Central",821161,Singapore,1.3958974,103.9149316,2012-09-20,NULL,2020-12-31,tQ773Uvu
20,1,42,20,"161B Punggol Central_G1","161B Punggol Central",822161,Singapore,1.3958567,103.9152405,2012-09-20,NULL,2020-12-31,vhElG69u
21,1,42,21,"162A Punggol Central_G1","162A Punggol Central",821162,Singapore,1.3966224,103.9142631,2012-09-20,NULL,2020-12-31,2Au0eW2O
22,1,42,22,"162B Punggol Central_G1","162B Punggol Central",822162,Singapore,1.3964003,103.9146256,2012-09-20,NULL,2020-12-31,cCnVyWTX
23,1,42,23,"163A Punggol Central_G1","163A Punggol Central",821163,Singapore,1.395757,103.9149655,2012-09-19,NULL,2020-12-31,5taiVzLC
24,1,42,24,"163B Punggol Central_G1","163B Punggol Central",822163,Singapore,1.3956723,103.91381,2012-09-19,NULL,2020-12-31,uUHvahtX
25,1,42,25,"165A Punggol Central_G1","165A Punggol Central",821165,Singapore,1.3952181,103.914793,2012-09-19,NULL,2020-12-31,1xBKJkrO
26,1,42,26,"165B Punggol Central_G1","165B Punggol Central",822165,Singapore,1.3951497,103.9144449,2012-09-19,NULL,2020-12-31,piA7shIb
27,1,42,27,"166A Punggol Central_G1","166A Punggol Central",821166,Singapore,1.3947758,103.9156265,2012-09-19,NULL,2020-12-31,1rZmMsH1
28,1,42,28,"166B Punggol Central_G1","166B Punggol Central",822166,Singapore,1.3947495,103.9151802,2012-09-19,NULL,2020-12-31,gIdJcUoX
29,1,42,29,"171B Punggol Central_G1","171B Punggol Central",822171,Singapore,1.4036273,103.9050487,2012-12-17,NULL,2020-12-31,jb0koocS
30,1,42,30,"171C Punggol Central_G1","171C Punggol Central",823171,Singapore,1.4036273,103.9050487,2012-12-17,NULL,2020-12-31,ahhrjgO3
31,1,42,31,"172A Punggol Central_G1","172A Punggol Central",821172,Singapore,1.4036256,103.9050513,2012-12-17,NULL,2020-12-31,B1TsopWU
32,1,42,32,"172B Punggol Central_G1","172B Punggol Central",822172,Singapore,1.4036256,103.9050513,2012-12-17,NULL,2020-12-31,ZpqAZelR
33,1,42,33,"172C Punggol Central_G1","172C Punggol Central",823172,Singapore,1.4036256,103.9050513,2012-09-17,NULL,2020-12-31,LeLgC11M
34,1,42,34,"637A Punggol Drive_G1","637A Punggol Drive",821637,Singapore,1.3995632,103.9145446,2012-11-29,NULL,2020-12-31,fXVsyqAY
35,1,42,35,"637B Punggol Drive_G1","637B Punggol Drive",822637,Singapore,1.3994834,103.9148457,2013-01-24,NULL,2020-12-31,GxoWTBqk
36,1,42,36,"637D Punggol Drive_G1","637D Punggol Drive",824637,Singapore,1.3991121,103.9154509,2012-11-29,NULL,2020-12-31,JOy9yTPh
37,1,42,37,"638A Punggol Drive_G1","638A Punggol Drive",821638,Singapore,1.3999954,103.9146934,2013-02-26,NULL,2020-12-31,1W3Mmt4P
38,1,42,38,"641A Punggol Drive_G1","641A Punggol Drive",821641,Singapore,1.3985848,103.916982,2013-01-24,NULL,2020-12-31,sCrALDBZ
39,1,42,39,"642A Punggol Drive_G1","642A Punggol Drive",821642,Singapore,1.3981294,103.9167213,2013-02-26,NULL,2020-12-31,wkSp6mRE
40,1,42,40,"642D Punggol Drive_G1","642D Punggol Drive",824642,Singapore,1.3988534,103.9158815,2012-11-29,NULL,2020-12-31,cNHAP3K2
